"codigo_grupo_contrato","numero_grupo_contrato","tipo_contrato","tempo_locacao","codigo_cliente","cpf_cnpj","situacao","categoria","data_inicio_contrato","data_termino_contrato","periodo_atual_contrato","modificado_em"
"4799","232",Contratos CaaS,"18","54223","01628773235",Encerrado,Carro Por Assinatura,2025-04-26,2026-10-26,"18",
"8118","248",Contratos CaaS,"24","36474","63776219220",Em Vigência,Carro Por Assinatura,2025-08-07,2027-08-06,"24",
"2209","5",Contratos Fleet,"30","36316","09006295000188",Em Vigência,Grupo Rezende,2025-03-01,2029-03-01,,
"24473","294",Contratos CaaS,"12","36460","17256249000165",Em Vigência,Carro Por Assinatura,2026-07-01,2027-06-30,"12",
"2302","102",Contratos Fleet,"30","36497","08827132000101",Em Vigência,Grupo Rezende,2024-11-01,2029-12-31,"36",
"2324","125",Contratos Fleet,"30","36512","09056321000344",Em Vigência,Grupo Rezende,2022-01-01,2029-12-31,,
"2347","148",Contratos CaaS,"12","36542","04335535000255",Encerrado,Carro Por Assinatura,2024-04-08,2025-04-08,"12",
"4777","230",Contratos CaaS,"12","54089","29220783000109",Encerrado,Carro Por Assinatura,2025-04-24,2026-04-24,"12",
"2344","145",Contratos CaaS,"12","36538","27648923220",Encerrado,Carro Por Assinatura,2024-03-14,2025-04-14,"12",
"4226","213",Contratos CaaS,"24","36538","27648923220",Em Vigência,Carro Por Assinatura,2025-04-15,2027-04-14,"24",
"2345","146",Contratos CaaS,"36","36539","00129675210",Em Vigência,Carro Por Assinatura,2024-03-18,2027-03-17,"36",
"2373","176",Contratos CaaS,"30","36542","04335535000255",Encerrado,Carro Por Assinatura,2024-08-23,2025-08-23,"12",
"2361","163",Contratos CaaS,"30","36553","87448980297",Em Vigência,Carro Por Assinatura,2024-06-20,2027-06-19,"36",
"3127","190",Contratos CaaS,"12","38688","70066971233",Encerrado,Carro Por Assinatura,2024-12-05,2025-12-04,"12",
"2371","174",Contratos CaaS,"12","36542","04335535000255",Encerrado,Carro Por Assinatura,2024-08-15,2025-08-14,"12",
"8689","250",Contratos CaaS,"12","36562","47159193000191",Em Vigência,Carro Por Assinatura,2025-08-22,2026-08-21,"12",
"3240","192",Contratos CaaS,"24","39130","95727620287",Em Vigência,Carro Por Assinatura,2024-12-12,2026-12-11,"24",
"3486","196",Contratos CaaS,"24","42722","76629090268",Em Vigência,Carro Por Assinatura,2025-01-08,2027-01-07,"24",
"4082","206",Contratos CaaS,"24","49045","02624645004",Encerrado,Carro Por Assinatura,2025-02-26,2027-02-26,"24",
"4101","208",Contratos CaaS,"36","44688","36289082000183",Em Vigência,Carro Por Assinatura,2025-05-09,2028-05-09,"36",
"4206","211",Contratos CaaS,"36","49318","54287995104",Encerrado,Carro Por Assinatura,2025-03-07,2028-03-06,"36",
"4093","207",Contratos CaaS,"24","49071","00181587220",Em Vigência,Carro Por Assinatura,2025-02-26,2027-02-26,"24",
"4214","212",Contratos CaaS,"24","49349","07080050000175",Em Vigência,Carro Por Assinatura,2025-03-08,2027-03-07,"24",
"4297","215",Contratos CaaS,"36","49648","45644608204",Em Vigência,Carro Por Assinatura,2025-03-24,2028-03-23,"36",
"4519","222",Contratos CaaS,"36","50186","80139680225",Em Vigência,Carro Por Assinatura,2025-03-26,2028-03-26,"36",
"8986","253",Contratos CaaS,"12","82518","01625255241",Em Vigência,Carro Por Assinatura,2025-08-25,2026-08-24,"12",
"8470","249",Contratos CaaS,"24","81271","30471516287",Em Vigência,Carro Por Assinatura,2025-08-05,2027-08-04,"24",
"8950","252",Contratos CaaS,"24","82515","72255684934",Em Vigência,Carro Por Assinatura,2025-08-23,2027-08-22,"24",
"9358","258",Contratos CaaS,"36","83836","85361330230",Em Vigência,Carro Por Assinatura,2025-09-11,2028-09-11,"36",
"2214","10",Contratos Fleet,"30","36317","09056321000182",Em Vigência,Grupo Rezende,2026-09-11,2029-12-31,,
"2212","8",Contratos Fleet,"30","36318","09056321000263",Em Vigência,Grupo Rezende,,2029-12-31,,
"4708","226",Contratos CaaS,"12","36320","08201761000202",Em Vigência,Carro Por Assinatura,2025-04-25,2026-04-24,"12",
"21446","265",Contratos CaaS,"12","36320","08201761000202",Em Vigência,Carro Por Assinatura,2026-05-01,2027-04-30,"12",
"7689","242",Contratos CaaS,"24","36506","31467741272",Encerrado,Carro Por Assinatura,2025-07-04,2027-07-04,"24",
"4328","217",Contratos CaaS,"24","49752","24593389291",Em Vigência,Carro Por Assinatura,2025-03-22,2027-03-21,"24",
"4010","204",Contratos CaaS,"24","36345","03128979000176",Em Vigência,Carro Por Assinatura,2025-02-20,2027-02-20,"24",
"2213","9",Contratos Fleet,"30","36366","09056321000425",Em Vigência,Grupo Rezende,2024-05-01,2029-12-31,"36",
"2360","162",Contratos CaaS,"36","36551","02065966262",Encerrado,Carro Por Assinatura,2024-06-05,2027-06-05,"36",
"2370","172",Contratos CaaS,"12","36451","41858743249",Em Vigência,Carro Por Assinatura,2024-09-01,2026-09-01,"24",
"2349","150",Contratos CaaS,"12","36410","45610851220",Em Vigência,Carro Por Assinatura,2024-04-16,2026-08-16,"24",
"9200","255",Contratos CaaS,"12","83289","36076158883",Em Vigência,Carro Por Assinatura,2025-09-09,2026-09-09,"12",
"22252","266",Contratos CaaS,"1","130488","70494029234",Em Vigência,Aplicativo,2026-05-13,2026-11-13,"6",
"23686","270",Contratos CaaS,"18","132386","03518744291",Em Vigência,Carro Por Assinatura,2026-05-25,2027-11-25,"18",
"15460","264",Contratos CaaS,"1","118090","43597513204",Em Vigência,Aplicativo,2026-04-01,2026-09-30,"6",
"22317","268",Contratos CaaS,"18","130705","91536693200",Em Vigência,Carro Por Assinatura,2026-05-18,2027-11-18,"18",
"24406","291",Contratos CaaS,"12","136019","61118603000187",Em Vigência,Carro Por Assinatura,2026-06-29,2027-06-29,"12",
"24447","293",Contratos CaaS,"12","136176","32177038200",Em Vigência,Carro Por Assinatura,2026-06-30,2027-06-30,"12",
"23618","269",Contratos CaaS,"18","132079","64356094204",Em Vigência,Carro Por Assinatura,2026-05-21,2027-11-21,"18",
"23780","273",Contratos CaaS,"18","133737","88579352215",Em Vigência,Carro Por Assinatura,2026-05-28,2027-11-28,"18",
"23713","271",Contratos CaaS,"18","132487","97781479220",Em Vigência,Carro Por Assinatura,2026-05-26,2027-11-26,"18",
"23763","272",Contratos CaaS,"18","132612","04955848940",Em Vigência,Carro Por Assinatura,2026-05-27,2027-11-27,"18",
"23884","277",Contratos CaaS,"24","134077","98407503215",Em Vigência,Carro Por Assinatura,2026-06-02,2028-06-02,"24",
"23798","275",Contratos CaaS,"18","133794","42607636000146",Em Vigência,Carro Por Assinatura,2026-05-29,2027-11-29,"18",
"23846","276",Contratos CaaS,"18","133956","72966874287",Em Vigência,Carro Por Assinatura,2026-06-01,2027-12-01,"18",
"24023","281",Contratos CaaS,"12","134586","82388229200",Em Vigência,Carro Por Assinatura,2026-06-09,2027-06-09,"12",
"24075","282",Contratos CaaS,"18","134703","51664798234",Em Vigência,Carro Por Assinatura,2026-06-11,2027-12-11,"18",
"24097","284",Contratos CaaS,"18","134747","77955900200",Em Vigência,Carro Por Assinatura,2026-06-11,2027-12-11,"18",
"24093","283",Contratos CaaS,"12","134748","03651329267",Em Vigência,Carro Por Assinatura,2026-06-11,2027-06-11,"12",
"24191","286",Contratos CaaS,"12","135050","51612019000120",Em Vigência,Carro Por Assinatura,2026-06-17,2027-06-17,"12",
"24669","300",Contratos CaaS,"36","135050","51612019000120",Em Vigência,Carro Por Assinatura,2026-07-11,2029-07-11,"36",
"24264","288",Contratos CaaS,"12","135536","00326996206",Em Vigência,Carro Por Assinatura,2026-07-03,2027-06-20,"12",
"24349","290",Contratos CaaS,"18","135777","59889096000133",Em Vigência,Carro Por Assinatura,2026-06-24,2027-12-24,"18",
